release_title,goal_title,activity_title,feature_title,feature_description,feature_status,feature_color,feature_annotations,feature_size
"R1","Onboarding y cuentas","Registro e inicio de sesión (Cliente)","Como cliente, quiero crear una cuenta para poder agendar y dejar reseñas.","","OPEN","PINK","","0"
"R1","Onboarding y cuentas","Registro y verificación (Profesional)","Como profesional, quiero crear mi cuenta para ofrecer servicios.","","OPEN","PINK","","0"
"R1","Descubrimiento de profesionales","Búsqueda por cobertura","Como cliente, quiero buscar profesionales por área de cobertura (barrios/localidades).","","OPEN","PINK","","0"
"R1","Descubrimiento de profesionales","Filtros y ordenamiento","Como cliente, quiero filtrar por tipo de servicio (corte, manicure, pedicure).","","OPEN","PINK","","0"
"R1","Perfil del profesional","Perfil básico","Como cliente, quiero ver nombre, foto y resumen de experiencia del profesional.","","OPEN","PINK","","0"
"R1","Perfil del profesional","Perfil básico","Como profesional, quiero editar mi perfil para mantenerlo actualizado.","","OPEN","PINK","","0"
"R1","Perfil del profesional","Reputación","Como cliente, quiero rating promedio (1-5) y cantidad de reseñas.","","OPEN","PINK","","0"
"R1","Catálogo de servicios ofrecidos","Gestión de servicios (Profesional)","Como profesional, quiero crear/editar servicios con nombre, descripción, precio e imágenes de referencia.","","OPEN","PINK","","0"
"R1","Catálogo de servicios ofrecidos","Detalle del servicio (Cliente)","Como cliente, quiero ver detalle del servicio con galería de imágenes y precio.","","OPEN","PINK","","0"
"R1","Áreas de cobertura","Definir cobertura (Profesional)","Como profesional, quiero definir una o varias áreas de cobertura.","","OPEN","PINK","","0"
"R1","Áreas de cobertura","Validar cobertura (Cliente/Sistema)","Como sistema, quiero validar dirección del cliente antes de confirmar la reserva.","","OPEN","PINK","","0"
"R1","Reseñas y calificaciones","Publicar y ver reseñas","Como cliente, quiero dejar reseñas (texto + 1-5 estrellas) tras un servicio realizado.","","OPEN","PINK","","0"
"R1","Reseñas y calificaciones","Publicar y ver reseñas","Como cliente, quiero ver reseñas con rating, texto y fecha.","","OPEN","PINK","","0"
"R1","Reseñas y calificaciones","Integridad y moderación","Como sistema, quiero permitir reseñas solo reservas completadas (no duplicados)","","OPEN","PINK","","0"
"R1","Agenda y agendamiento","Configuración de agenda (Profesional)","Como profesional, quiero configurar horarios, días hábiles y bloqueos.","","OPEN","PINK","","0"
"R1","Agenda y agendamiento","Reserva y confirmación (Cliente)","Como cliente, quiero ver disponibilidad (solts) considerando duración y sin traslapes.","","OPEN","PINK","","0"
"R1","Agenda y agendamiento","Reserva y confirmación (Cliente)","Como cliente, quiero recibir confirmación con servicio, fecha y costo.","","OPEN","PINK","","0"
"R1","Agenda y agendamiento","Concurrencia y bloqueo de slots (Sistema)","Como sistema, quiero evitar doble reservación del mismo slot.","","OPEN","PINK","","0"
"R1","Privacidad y confidencialidad","Datos visibles por defecto","Como cliente, quiero que mis datos personales no se muestren públicamente.","","OPEN","PINK","","0"
"R2","Onboarding y cuentas","Registro y verificación (Profesional)","Como admin, quiero aprobar o suspender cuentas de profesionales para asegurar calidad.","","OPEN","PINK","","0"
"R2","Descubrimiento de profesionales","Filtros y ordenamiento","Como cliente, quiero ordenar por calificación promedio y número de reseñas.","","OPEN","PINK","","0"
"R2","Descubrimiento de profesionales","Patrocinio visible","Como cliente, quiero filtrar profesionales patrocinados por marca y ver su distintivo.","","OPEN","PINK","","0"
"R2","Perfil del profesional","Patrocinio en perfil","Como cliente, quiero ver si es patrocinado y qué productos usa.","","OPEN","PINK","","0"
"R2","Catálogo de servicios ofrecidos","Detalle del servicio (Cliente)","Como cliente, quiero ver duración estimada para programarme.","","OPEN","PINK","","0"
"R2","Patrocinio de marcas","Gestión de marcas (Admin)","Como admin, quiero CRUD de marcas (nombre, logo, descripción).","","OPEN","PINK","","0"
"R2","Patrocinio de marcas","Asociación de patrocinio","Como admin, quiero asociar profesionales a una marca patrocinadora.","","OPEN","PINK","","0"
"R2","Portafolio de trabajos realizados","Historial con evidencias","Como cliente, quiero ver trabajos realizados con fecha y fotos del resultado.","","OPEN","PINK","","0"
"R2","Portafolio de trabajos realizados","Carga de fotos y consentimiento","Como profesional, quiero subir fotos del resultado final con consentimiento del cliente.","","OPEN","PINK","","0"
"R2","Portafolio de trabajos realizados","Carga de fotos y consentimiento","Como profesional, quiero marcar imágenes como públicas o privadas según consentimiento.","","OPEN","PINK","","0"
"R2","Agenda y agendamiento","Reserva y confirmación (Cliente)","Como cliente, quiero reprogramar o cancelar dentro de políticas.","","OPEN","PINK","","0"
"R2","Privacidad y confidencialidad","Consentimiento y control.","Como cliente, quiero otorgar/revocar consentimiento para uso de mis fotos.","","OPEN","PINK","","0"
"R2","Administración y monitoreo","Categorías de servicios","Como admin, quiero gestionar categorías y asignar servicios a categorías.","","OPEN","PINK","","0"
"R2","Comunicación y notificaciones","Recordatorios al cliente","Como cliente, quiero recordatorios 24h/2h antes por email/push.","","OPEN","PINK","","0"
"R2","Comunicación y notificaciones","Alertas al profesional","Como profesional, quiero notificaciones al crear/cancelar/reprogramar reservas y resumen diario.","","OPEN","PINK","","0"
"R3","Reseñas y calificaciones","Integridad y moderación","Como admin, quiero moderar reseñas que violen políticas.","","OPEN","PINK","","0"
"R3","Privacidad y confidencialidad","Cumplimiento avanzado","Como sistema, quiero prevenir publicación de fotos sin consentimiento.","","OPEN","PINK","","0"
"R3","Privacidad y confidencialidad","Cumplimiento avanzado","Como admin, quiero políticas de retención y acceso a datos (exportar/eliminar cuenta).","","OPEN","PINK","","0"
"R3","Administración y monitoreo","Moderación de imágenes","Como admin, quiero revisar imágenes para evitar contenido inapropiado.","","OPEN","PINK","","0"
"R3","Administración y monitoreo","Reportes operativos","Como admin, quiero reportes (reservas, ratings por profesional) y exportación CSV.","","OPEN","PINK","","0"
